rowid,kepid,tce_plnt_num,tce_rogue_flag,tce_delivname,rowupdate,tce_datalink_dvs,tce_datalink_dvr,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_time0,tce_time0_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,tce_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof1,tce_dof2,tce_chisq1,tce_chisq2,tce_chisqgofdof,tce_chisqgof,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_nkoi,tce_ioflag,tce_quarters,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tcet_period,tcet_period_err,tcet_time0bk,tcet_time0bk_err,tcet_time0,tcet_time0_err,tcet_duration,tcet_duration_err,tcet_ingress,tcet_ingress_err,tcet_depth,tcet_depth_err,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,tce_mesmedian,tce_mesmad,tce_maxmes,tce_minmes,tce_maxmesd,tce_minmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_rmesmad,tce_rsnrmes,tce_rminmes,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,av_vf_pc,av_vf_pc_err,av_vf_afp,av_vf_afp_err,av_vf_ntp,av_vf_ntp_err,av_pp_pc,av_pp_afp,av_pp_ntp,av_training_set,av_pred_class,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,tce_cap_stat,tce_hap_stat,tce_rb_tpdur,tce_rb_tcount0,tce_rb_tcount1,tce_rb_tcount2,tce_rb_tcount3,tce_rb_tcount4,tce_fwm_stat,tce_fwm_sra,tce_fwm_sra_err,tce_fwm_sdec,tce_fwm_sdec_err,tce_fwm_srao,tce_fwm_srao_err,tce_fwm_sdeco,tce_fwm_sdeco_err,tce_fwm_prao,tce_fwm_prao_err,tce_fwm_pdeco,tce_fwm_pdeco_err,tce_dicco_mra,tce_dicco_mra_err,tce_dicco_mdec,tce_dicco_mdec_err,tce_dicco_msky,tce_dicco_msky_err,tce_dikco_mra,tce_dikco_mra_err,tce_dikco_mdec,tce_dikco_mdec_err,tce_dikco_msky,tce_dikco_msky_err
7561,5942808,2,,q1_q17_dr24_tce,2015-01-15,005/005942/005942808/dv/kplr005942808-002-20141002224145_dvs.pdf,005/005942/005942808/dv/kplr005942808-20141002224145_dvr.pdf,0.626283,3.44146e-06,131.904,0.0005442019999999999,2454960.0,0.0005442019999999999,0.018402458,0.009166401,4.1653426,6.261673,88.62,223.0,0.1,16.06,1.164,0.06638,0.02124,0.07696,426.0,20.83,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.6824414000000001,-0.6735949999999999,1.3720912,-0.5539946,1266,mandel-agol_geometric_transit_model,1,34.31,15170.0,18000.0,31.58,15800.0,1214,25330.0,2121.0,,,1.653,0.8232,0.01325,4.853e-08,1710.0,725.0,,,2,,10111011101110,4922.0,195.0,4.5,0.65,0.2,0.26,0.823,0.6940000000000001,KIC0,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.6774,2.038,-2.527,0.2031,0.3825,4.588,26.6,0.1604,39.28,1.29,0.09497,,,,,,,74.299,0.1902,23.5196,0.1788,2.1814,0.0591,78.4336,13.6329,7.9335,PC,PC,4.211199999999998e-123,7.4294,-0.73866,1.1602,,,,,,,,,28.318,19.014429,8.18e-06,41.282434,7.74e-05,-0.6872,0.332,0.01601,0.278,-0.000389,0.000143,7.07e-05,0.000123,1.2147,0.385,0.20048,0.224,1.2311,0.382,0.078174,0.179,0.11797,0.197,0.14152,0.192
10354,7834045,1,,q1_q17_dr24_tce,2015-01-15,007/007834/007834045/dv/kplr007834045-001-20141002224145_dvs.pdf,007/007834/007834045/dv/kplr007834045-20141002224145_dvr.pdf,44.7006,0.000641731,155.56799999999998,0.0117428,2454990.0,0.0117428,0.014164598,0.014867082,30.316247999999998,153.57455,89.27,24.95,0.3858,11.25,10.56,1.611,0.1729,1.939,232.6,21.46,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.28444040000000004,0.794346,-0.4771118,0.09716060000000001,32,mandel-agol_geometric_transit_model,1,10.93,2540.0,3028.0,18.5,377.0,28,219.5,144.4,,,1.328,1.394,0.2306,2.207e-06,497.0,109.0,,,1,,11111111111111111,5834.0,175.0,4.48,0.28,-0.52,0.32,0.8590000000000001,0.375,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.6911,3.052,-2.914,11.33,7.881,6.3870000000000005,11.45,0.7089,16.57,0.9546,0.2544,,,,,,,96.1654,0.1131,3.5944,0.1117,0.2402,0.0221,98.5189,1.0888,0.3924,PC,PC,4.9652999999999994e-26,7.5542,-0.47028000000000003,1.1368,,,,,,,,,20.256,19.706504000000002,2.03e-05,43.596301000000004,0.000198,0.578,0.794,-0.3564,0.711,-0.0004209,0.000185,-1.358e-05,0.000166,1.1754,0.838,1.0193,1.1,1.5558,0.868,0.068582,0.59,0.38565,1.22,0.3917,1.22
6962,5956342,3,,q1_q17_dr24_tce,2015-01-15,005/005956/005956342/dv/kplr005956342-003-20141002224145_dvs.pdf,005/005956/005956342/dv/kplr005956342-20141002224145_dvr.pdf,67.8315,0.000793862,193.718,0.00924421,2455030.0,0.00924421,0.021016531,0.03434891,73.32488000000001,560.3206,90.0,8073.0,0.0007439,10330.0,7.216,2.204,0.1485,2.519,532.1,66.14,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.3711782,0.5241104,-0.14189839999999998,-0.0358912,16,mandel-agol_geometric_transit_model,1,12.83,848.7,1015.0,14.75,195.0,14,172.5,46.71,,,2.447,3.999,0.3122,2.436e-06,476.0,40.9,,,4,,11111111111111111,5839.0,108.0,4.33,0.13,-0.28,0.16,1.067,0.179,SPE58,SPE58,SPE58,DSEP,,,,,,,,,,,,,,,,,,,0.7599,3.205,-3.453,26.67,17.35,5.1160000000000005,10.81,2.182,14.22,1.187,0.3195,,,,,,,89.9802,0.1371,8.4012,0.1445,1.6186,0.0569,93.6927,3.913,2.3942,PC,PC,3.3892e-22,7.8186,-0.39613000000000004,1.165,,,,,,,,,18.442,19.367316,3.26e-05,41.244218,0.000304,-1.979,1.33,-2.169,1.09,0.001011,0.000712,0.0009713,0.000596,0.087688,0.893,0.15809,0.405,0.18078,0.891,0.017457,0.837,-0.071872,0.406,0.073962,0.836
5879,6426592,2,,q1_q17_dr24_tce,2015-01-15,006/006426/006426592/dv/kplr006426592-002-20141002224145_dvs.pdf,006/006426/006426592/dv/kplr006426592-20141002224145_dvr.pdf,459.243,0.0103556,260.35900000000004,0.011274,2455090.0,0.011274,0.024537595,0.06126674,951.2755699999999,11408.426,89.97,1.27,0.5698,14.26,3.14,2.788,0.1101,2.92,663.0,190.2,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.2889,0.766219,-0.427155,0.074267,3,mandel-agol_geometric_transit_model,1,4.179,53.34,55.76,12.56,39.0,2,7.0760000000000005,1.515,,,2.222,5.549,1.083,1.629e-05,223.0,50.9,,,1,,11110111011101110,5780.0,174.0,4.5,0.29,-0.54,0.32,0.83,0.375,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.7275,6.931,-4.327,341.9,341.6,9.693,9.647,0.0,13.26,0.4332,0.4485,,,,,,,2.9662,0.0813,2.7504,0.0987,94.2834,0.1358,0.1221,1.1023,98.7755,NTP,NTP,9.901100000000001e-15,8.8117,-0.89044,1.3772,,,,,,,,,1.9151,19.040098,9.16e-05,41.817054,0.000842,-0.4316,3.68,-1.715,3.03,0.0005076,0.00247,0.001197,0.00206,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
16428,9946525,2,,q1_q17_dr24_tce,2015-01-15,009/009946/009946525/dv/kplr009946525-002-20141002224145_dvs.pdf,009/009946/009946525/dv/kplr009946525-20141002224145_dvr.pdf,4.18005,2.18174e-06,131.91899999999998,0.000359365,2454960.0,0.000359365,0.040717927,0.0037130793,9.777002900000001,3.200459,85.85,2.77,0.7067,0.2401,2.495,0.1087,0.188,0.1424,1720.0,16.98,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.6423191999999999,-0.4720126,1.1397544,-0.5083806,317,mandel-agol_geometric_transit_model,1,109.9,6264.0,7479.0,117.4,4043.0,310,6253.0,653.2,,,3.723,0.3395,0.04894,1.703e-08,962.0,148.0,,,3,,11111111111111111,5271.0,177.0,4.54,0.2,0.14,0.24,0.838,0.252,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.9723,3.415,-3.011,3.13,2.865,10.46,97.72,0.2455,100.5,1.124,0.03081,,,,,,,89.0193,0.0638,10.564,0.0642,0.4167,0.0279,93.6503,5.0736,1.2761,PC,PC,0.0,7.537,-0.14001,1.0902,,,,,,,,,5.0306,19.319084,2.86e-06,46.858824,2.74e-05,0.0883,0.106,0.1211,0.0988,1.648e-05,0.000196,-0.0002063,0.0002,0.021564,0.0863,-0.021876,0.0788,0.030717,0.0874,-0.067038,0.0843,0.089349,0.0776,0.1117,0.0773
16383,10033959,1,,q1_q17_dr24_tce,2015-01-15,010/010033/010033959/dv/kplr010033959-001-20141002224145_dvs.pdf,010/010033/010033959/dv/kplr010033959-20141002224145_dvr.pdf,103.125,0.00100251,230.68400000000003,0.00628364,2455060.0,0.00628364,0.02437376,0.03993762,320.24651,2294.5857,89.89,2.184,0.592,7.964,2.056,0.9828,0.0744,1.195,653.0,44.39,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.49979759999999995,0.10439870000000001,0.3852545,-0.2420112,10,mandel-agol_geometric_transit_model,1,30.92,424.6,154.6,35.67,130.0,9,801.4,105.4,,,2.66,4.358,0.4305,2.79e-06,389.0,0.00126,,,0,,11111101110111011,5780.0,0.0,4.44,0.0,0.0,0.0,1.0,0.0,Solar,Solar,Solar,Solar,,,,,,,,,,,,,,,,,,,0.6976,40.22,-29.85,-9.196,-9.083,52.21,52.22,0.0,74.86,0.592,0.5716,,,,,,,12.3983,0.1804,23.6928,0.2877,63.9089,0.2635,10.5031,10.6657,78.8312,NTP,NTP,4.0259e-09,76.589,-48.993,17.778,,,,,,,,,9.1544,19.964539000000002,1.14e-05,46.94806,9.88e-05,0.8526,0.421,0.4996,0.356,-0.0002876,0.000284,-0.0002174,0.000255,1.1354,0.794,-0.5705,0.871,1.2706,1.02,2.163,1.03,-0.66533,0.806,2.263,1.17
162,2715053,1,,q1_q17_dr24_tce,2015-01-15,002/002715/002715053/dv/kplr002715053-001-20141002224145_dvs.pdf,002/002715/002715053/dv/kplr002715053-20141002224145_dvr.pdf,0.9682559999999999,1.2204e-05,131.505,0.00454467,2454960.0,0.00454467,0.006011475200000001,0.007038906,1.6461892,6.3432255,87.65,3175.0,0.06743,90.89,4.51,10.03,0.02707,0.3027,42.67,5.262,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.3007232,0.8792608000000001,-0.7136616,0.2143116,1395,mandel-agol_geometric_transit_model,1,10.02,41190.0,50640.0,14.95,17690.0,1360,30720.0,3037.0,,,0.6789,0.795,0.01969,1.6550000000000002e-07,2040.0,476.0,,,0,,11111111111111111,6363.0,210.0,4.44,0.3,-0.26,0.28,1.035,0.479,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,3.13,4.28,-7.752,0.5994,0.3201,4.834,9.117,0.3212,2.913,1.099,0.8503,,,,,,,0.3367,0.0308,46.0835,0.2691,53.5798,0.2574,0.2942,43.9534,55.7523,AFP,NTP,5.9294e-15,8.2805,-0.38689,1.2315,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.8077,0.393,-1.5643,0.744,1.7605,0.667,0.68256,0.444,-1.5484,0.742,1.6922,0.696
975,3130548,1,,q1_q17_dr24_tce,2015-01-15,003/003130/003130548/dv/kplr003130548-001-20141002224145_dvs.pdf,003/003130/003130548/dv/kplr003130548-20141002224145_dvr.pdf,0.8788590000000001,4.01778e-06,132.372,0.000775553,2454970.0,0.000775553,0.015928,0.0039056859,4.3549902000000005,4.5198174,80.67,20.29,0.7062,0.7891,1.126,0.04196,0.03468,0.08298,260.2,14.51,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.428726,0.29992959999999996,0.16805520000000002,-0.1629204,1216,mandel-agol_geometric_transit_model,1,25.67,14700.0,17780.0,24.17,15570.0,1197,12220.0,1453.0,,,1.629,0.3993,0.0172,5.241e-08,1860.0,371.0,,,1,,11111011101110111,5727.0,167.0,4.44,0.26,-0.22,0.29,0.937,0.369,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,1.886,11.56,-4.281,0.4445,-0.1781,5.268,21.2,0.2853,11.24,1.211,0.2019,,,,,,,4.461,0.1181,94.8475,0.1214,0.6915,0.0346,0.1261,99.5419,0.332,AFP,AFP,1.8725999999999997e-79,7.4771,-0.71013,1.1631,,,,,,,,,7.0743,19.638493,1.22e-05,38.265293,0.000126,1.182,0.519,-0.816,0.454,-0.0001358,0.000136,0.0001299,0.000119,0.91255,0.151,-0.75711,0.15,1.1857,0.172,0.89108,0.16,-0.65595,0.171,1.1065,0.193
15912,10132618,1,,q1_q17_dr24_tce,2015-01-15,010/010132/010132618/dv/kplr010132618-001-20141002224145_dvs.pdf,010/010132/010132618/dv/kplr010132618-20141002224145_dvr.pdf,0.673862,1.57881e-05,131.937,0.00527008,2454960.0,0.00527008,0.0032532803000000004,0.0027772973,1.0568518999999998,0.5393538,42.99,236.9,0.773,2.586,3.115,13.61,0.02498,0.1581,10.54,1.492,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.321552,0.9009031999999999,-0.8185604000000001,0.27499320000000005,1994,mandel-agol_geometric_transit_model,1,8.854,35300.0,42410.0,19.25,25360.0,1950,41910.0,3556.0,,,0.6397,0.5461,0.016640000000000002,2.6e-07,3030.0,712.0,,,0,,11111111111111111,6590.0,261.0,4.06,0.27,-0.14,0.32,1.8019999999999998,0.836,PHO54,PHO54,PHO54,DSEP,,,,,,,,,,,,,,,,,,,1.97,2.846,-3.275,0.3093,0.4864,7.091,11.64,0.9486,5.907,0.7607,0.2814,,,,,,,2.5269,0.0964,8.5889,0.0828,88.8842,0.1616,0.1226,2.0103,97.867,NTP,NTP,1.5175999999999997e-17,9.7219,0.078098,1.369,,,,,,,,,9.5387,19.225664000000002,1.86e-05,47.194561,0.000213,1.058,0.682,-0.5131,0.765,-1.022e-05,7.19e-06,6.831e-06,8.06e-06,0.24761,0.181,0.24837,0.291,0.35071,0.276,0.20047,0.173,0.28947,0.3,0.35211,0.292
4929,4949187,1,,q1_q17_dr24_tce,2015-01-15,004/004949/004949187/dv/kplr004949187-001-20141002224145_dvs.pdf,004/004949/004949187/dv/kplr004949187-20141002224145_dvr.pdf,11.9782,8.9198e-05,140.737,0.00594019,2454970.0,0.00594019,0.011674915,0.0022119018,6.505524299999999,6.649446,83.82,13.13,0.7,0.7666,10.27,0.2584,0.23,0.5201,141.7,8.045,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.28643320000000005,1.0243018,-0.9816664,0.34435279999999996,118,mandel-agol_geometric_transit_model,1,17.54,9273.0,10860.0,41.65,1508.0,115,3388.0,4077.0,,,3.354,0.6355,0.1178,5.85e-07,1380.0,310.0,,,0,,11111111111111111,6622.0,277.0,3.78,0.37,-0.22,0.3,2.633,1.162,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,3.686,9.839,-9.8,2.899,-1.022,8.171,17.27,1.433,4.686,1.015,0.5674,,,,,,,0.9683,0.0588,92.878,0.1544,6.1537,0.1199,0.1127,97.982,1.9053,AFP,AFP,3.4289e-53,7.8469,-0.18523,1.1406,,,,,,,,,1.5163,19.861665,1.48e-05,40.088316999999996,0.000162,-0.07877,0.612,-0.407,0.584,2.755e-05,8.67e-05,4.766e-05,8.29e-05,-0.083601,0.097,0.11462,0.12,0.14187,0.128,-0.037421,0.0936,0.11281,0.123,0.11886,0.131
5369,5115778,1,,q1_q17_dr24_tce,2015-01-15,005/005115/005115778/dv/kplr005115778-001-20141002224145_dvs.pdf,005/005115/005115778/dv/kplr005115778-20141002224145_dvr.pdf,3.5261699999999996,5.0974e-05,132.781,0.00863774,2454970.0,0.00863774,0.004988832,0.005249129,2.49188,12.978103,89.83,19210.0,0.007455,835.3,10.86,10.36,0.05393,0.6734,28.95,5.257,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.28521199999999997,1.0807502,-1.1100318,0.39754,306,mandel-agol_geometric_transit_model,1,6.458,25310.0,30180.0,27.35,3809.0,292,11250.0,4532.0,,,1.08,1.136,0.05151,4.965e-07,1960.0,433.0,,,0,,11111011101110111,7151.0,318.0,4.01,0.25,-0.28,0.34,1.984,0.86,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,2.207,4.109,-5.679,2.125,-0.8173,6.468999999999999,7.821000000000001,0.05508,3.544,0.8258,0.7261,,,,,,,0.2051,0.0204,3.6076,0.0991,96.1872,0.0981,0.0,1.1253,98.8747,NTP,NTP,2.813e-09,9.3276,0.5875600000000001,1.2416,,,,,,,,,4.4508,19.730854,3.01e-05,40.259757,0.000291,-0.8439,1.24,-0.5885,1.05,1.851e-05,3.59e-05,3.024e-05,3.03e-05,-0.11803,0.576,0.042125,0.219,0.12532,0.485,0.016114,0.584,0.23122,0.221,0.23178,0.372
17798,11241912,1,,q1_q17_dr24_tce,2015-01-15,011/011241/011241912/dv/kplr011241912-001-20141002224145_dvs.pdf,011/011241/011241912/dv/kplr011241912-20141002224145_dvr.pdf,14.4273,8.20858e-05,138.842,0.00465541,2454970.0,0.00465541,0.0097214053,0.005394067,26.474103000000003,67.8323,89.19,14.93,0.3746,5.937,3.904,0.1951,0.04365,0.2489,110.3,6.059,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.440114,0.3520968,0.0355878,-0.0986918,91,mandel-agol_geometric_transit_model,1,18.8,2797.0,3311.0,20.61,1144.0,87,786.4,136.6,,,1.103,0.6122,0.1159,4.397e-07,783.0,74.5,,,1,,11111111111111111,5929.0,124.0,4.4,0.15,-0.06,0.14,1.04,0.193,SPE12,SPE12,SPE12,DSEP,,,,,,,,,,,,,,,,,,,0.7261,2.559,-3.06,2.125,3.079,7.325,19.25,0.07951,26.51,0.9764,0.159,,,,,,,99.4413,0.0266,0.5528,0.0275,0.0059,0.0054,99.7771,0.2229,0.0,PC,PC,1.0404999999999999e-70,7.5256,-0.1957,1.0963,,,,,,,,,2.1415,19.375756,1.99e-05,48.996209,0.000172,-0.5263,0.705,0.4647,0.621,5.158e-05,7.77e-05,-2.248e-05,6.85e-05,-0.37671,0.301,-0.55592,0.513,0.67153,0.526,-0.54631,0.302,-0.24208,0.511,0.59754,0.468
5206,5219234,3,,q1_q17_dr24_tce,2015-01-15,005/005219/005219234/dv/kplr005219234-003-20141002224145_dvs.pdf,005/005219/005219234/dv/kplr005219234-20141002224145_dvr.pdf,3.2053,1.24872e-05,133.482,0.00259373,2454970.0,0.00259373,0.018146558,0.014884353999999999,11.186349,31.331783,90.0,52260.0,0.0002813,10200.0,2.229,0.1473,0.03972,0.2578,415.8,45.13,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.6356394000000001,-0.5222289999999999,1.226847,-0.5341774,332,mandel-agol_geometric_transit_model,1,16.17,5675.0,6692.0,18.18,4095.0,314,2863.0,513.3,,,1.556,1.277,0.039889999999999995,1.0359999999999999e-07,999.0,42.9,,,4,,11111111111111,5099.0,107.0,4.56,0.06,0.04,0.16,0.7859999999999999,0.059000000000000004,SPE58,SPE58,SPE58,DSEP,,,,,,,,,,,,,,,,,,,0.9503,2.144,-3.802,-0.5729,1.596,4.184,16.5,8.374e-05,17.36,0.9804,0.2304,,,,,,,93.1693,0.1536,5.9222,0.1397,0.9084,0.0572,96.8965,2.347,0.7565,PC,PC,3.809e-57,7.0984,-0.37005,1.0616,,,,,,,,,2.8061,19.94833,1.94e-05,40.343034,0.000215,1.742,0.798,-0.5264,0.772,-0.0002928,0.000336,2.193e-05,0.000328,-0.30536,0.508,0.55386,0.356,0.63246,0.412,-0.40218,0.492,0.51037,0.383,0.64979,0.428
7979,7031716,1,,q1_q17_dr24_tce,2015-01-15,007/007031/007031716/dv/kplr007031716-001-20141002224145_dvs.pdf,007/007031/007031716/dv/kplr007031716-20141002224145_dvr.pdf,0.567917,0.0137113,131.776,2.53585,2454960.0,2.53585,0.0001869813,0.013617415,1.9634566999999998,43.629936,66.11,948.5,0.795,16.08,1.341,39.09,0.0006811,0.06387,0.03393,4.878,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.33138379999999995,0.7175496,-0.44236440000000005,0.093077,2358,mandel-agol_geometric_transit_model,1,0.01035,30910.0,37730.0,13.41,30150.0,2318,27580.0,3160.0,,,0.02106,1.534,0.01324,0.0002132,2360.0,434.0,,,0,,11111111111111111,6057.0,185.0,4.39,0.26,-0.28,0.3,1.032,0.374,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,1.531,2.419,-3.805,0.1708,0.3835,5.511,10.61,6.741e-06,6.929,0.0009759,0.3587,,,,,,,0.0896,0.0178,78.1889,0.285,21.7215,0.2878,0.0,82.5623,17.4377,AFP,AFP,7.639599999999999e-23,7.277,-1.2898,1.2178,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-0.66788,1.13,-2.0698,0.998,2.1749,1.03,-0.77042,1.03,-1.9176,0.951,2.0666,0.963
20350,11764462,1,,q1_q17_dr24_tce,2015-01-15,011/011764/011764462/dv/kplr011764462-001-20141002224145_dvs.pdf,011/011764/011764462/dv/kplr011764462-20141002224145_dvr.pdf,5.6992,1.05674e-05,136.586,0.00135392,2454970.0,0.00135392,0.011769378999999998,0.003107413,15.920072,17.190363,88.32,8.458,0.4654,1.847,2.457,0.06401,0.03637,0.08875,160.2,5.238,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.5715584,-0.1391406,0.69145,-0.35417259999999995,235,mandel-agol_geometric_transit_model,1,31.64,4583.0,5486.0,37.57,3016.0,231,3084.0,548.1,,,1.197,0.316,0.06216,7.684e-08,964.0,93.6,,,1,,11111111111111111,5646.0,114.0,4.49,0.16,0.12,0.12,0.932,0.177,SPE59,SPE59,SPE59,DSEP,,,,,,,,,,,,,,,,,,,0.6658,2.655,-2.514,-0.9167,0.5052,10.41,30.21,0.8421,45.37,1.047,0.08322,,,,,,,99.3949,0.0292,0.5668,0.0294,0.0382,0.008,99.773,0.227,0.0,PC,PC,6.257699999999997e-173,7.5701,-0.034742,1.0797,,,,,,,,,15.909,19.505616,8.6e-06,49.92308,8.99e-05,-0.446,0.299,-0.2872,0.324,8.235e-05,4.79e-05,6.124e-05,5.19e-05,-0.041169,0.168,-0.00052125,0.237,0.041172,0.237,0.031105,0.165,0.25748,0.245,0.25935,0.244
9310,6877871,2,,q1_q17_dr24_tce,2015-01-15,006/006877/006877871/dv/kplr006877871-002-20141002224145_dvs.pdf,006/006877/006877871/dv/kplr006877871-20141002224145_dvr.pdf,0.536852,1.14055e-05,131.765,0.00186595,2454960.0,0.00186595,0.009887213,0.004547097,1.2822514999999999,1.3006448,45.43,92.16,0.8999,0.5566,1.466,1.978,0.07252,0.2975,84.97,12.29,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.351568,0.7778276,-0.6390541999999999,0.1954306,1709,mandel-agol_geometric_transit_model,1,10.78,17340.0,20610.0,13.53,18070.0,1389,76170.0,4195.0,,,1.26,0.5796,0.01371,1.941e-07,2650.0,658.0,,,1,1.0,11111111111111111,6495.0,252.0,4.38,0.29,-0.1,0.34,1.168,0.574,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,1.364,1.342,-3.98,0.3306,0.2656,3.75,7.899,0.02216,5.791,1.365,0.5038,,,,,,,0.2037,0.0152,97.6589,0.0806,2.1375,0.0747,0.0,99.521,0.479,AFP,AFP,7.854e-14,7.4934,-0.77488,1.175,,,,,,,,,4.7701,19.720494,1.21e-05,42.372341,0.000138,0.4169,0.484,0.00273,0.497,-4.673e-05,4.12e-05,4.486e-07,4.24e-05,0.21982,0.468,-0.10035,0.942,0.24164,0.907,0.1901,0.406,-0.032481,0.921,0.19286,0.89
2502,4548011,2,,q1_q17_dr24_tce,2015-01-15,004/004548/004548011/dv/kplr004548011-002-20141002224145_dvs.pdf,004/004548/004548011/dv/kplr004548011-20141002224145_dvr.pdf,9.08755,7.71158e-05,139.98,0.0067743,2454970.0,0.0067743,0.0057121101,0.002314858,17.660951,31.919273,88.39,11.92,0.4966,2.775,3.438,0.173,0.02587,0.1045,37.11,3.606,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.48432159999999996,0.20814339999999998,0.2222134,-0.172647,139,mandel-agol_geometric_transit_model,1,10.45,3746.0,4408.0,11.23,1716.0,131,1021.0,235.6,,,0.7648,0.3099,0.08621000000000001,4.877e-07,980.0,88.2,,,4,,11111111111111111,5888.0,130.0,4.28,0.12,0.06,0.12,1.227,0.214,SPE59,SPE59,SPE59,DSEP,,,,,,,,,,,,,,,,,,,0.7182,2.987,-2.789,3.652,6.016,3.6710000000000003,10.16,0.4537,14.15,1.028,0.2745,,,,,,,97.7805,0.0937,1.8227,0.0766,0.3967,0.0372,99.1691,0.5611,0.2698,PC,PC,6.121900000000001e-22,7.4655,-0.089404,1.0726,,,,,,,,,11.625,19.158047,2.64e-05,39.603881,0.000331,-1.55,1.1,1.121,1.19,6.387e-05,4.08e-05,-4.152e-05,4.42e-05,0.045108,0.693,-0.58483,0.778,0.58656,0.837,0.14589,0.749,-0.40822,0.811,0.43351000000000006,0.848
