rowid,kepid,tce_plnt_num,tce_rogue_flag,tce_delivname,rowupdate,tce_datalink_dvs,tce_datalink_dvr,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_time0,tce_time0_err,tce_ror,tce_ror_err,tce_dor,tce_dor_err,tce_incl,tce_incl_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_ingress,tce_ingress_err,tce_depth,tce_depth_err,tce_eccen,tce_eccen_err,tce_longp,tce_longp_err,tce_limbdark_mod,tce_ldm_coeff1,tce_ldm_coeff2,tce_ldm_coeff3,tce_ldm_coeff4,tce_num_transits,tce_trans_mod,tce_full_conv,tce_model_snr,tce_model_chisq,tce_model_dof,tce_robstat,tce_dof1,tce_dof2,tce_chisq1,tce_chisq2,tce_chisqgofdof,tce_chisqgof,tce_prad,tce_prad_err,tce_sma,tce_sma_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_nkoi,tce_ioflag,tce_quarters,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_smet,tce_smet_err,tce_sradius,tce_sradius_err,tce_steff_prov,tce_slogg_prov,tce_smet_prov,tce_sradius_prov,tcet_period,tcet_period_err,tcet_time0bk,tcet_time0bk_err,tcet_time0,tcet_time0_err,tcet_duration,tcet_duration_err,tcet_ingress,tcet_ingress_err,tcet_depth,tcet_depth_err,tcet_full_conv,tcet_model_chisq,tcet_model_dof,wst_robstat,wst_depth,tce_mesmedian,tce_mesmad,tce_maxmes,tce_minmes,tce_maxmesd,tce_minmesd,tce_max_sngle_ev,tce_max_mult_ev,tce_bin_oedp_stat,tce_rmesmad,tce_rsnrmes,tce_rminmes,tce_albedo,tce_albedo_err,tce_ptemp,tce_ptemp_err,tce_albedo_stat,tce_ptemp_stat,av_vf_pc,av_vf_pc_err,av_vf_afp,av_vf_afp_err,av_vf_ntp,av_vf_ntp_err,av_pp_pc,av_pp_afp,av_pp_ntp,av_training_set,av_pred_class,boot_fap,boot_mesthresh,boot_mesmean,boot_messtd,tce_cap_stat,tce_hap_stat,tce_rb_tpdur,tce_rb_tcount0,tce_rb_tcount1,tce_rb_tcount2,tce_rb_tcount3,tce_rb_tcount4,tce_fwm_stat,tce_fwm_sra,tce_fwm_sra_err,tce_fwm_sdec,tce_fwm_sdec_err,tce_fwm_srao,tce_fwm_srao_err,tce_fwm_sdeco,tce_fwm_sdeco_err,tce_fwm_prao,tce_fwm_prao_err,tce_fwm_pdeco,tce_fwm_pdeco_err,tce_dicco_mra,tce_dicco_mra_err,tce_dicco_mdec,tce_dicco_mdec_err,tce_dicco_msky,tce_dicco_msky_err,tce_dikco_mra,tce_dikco_mra_err,tce_dikco_mdec,tce_dikco_mdec_err,tce_dikco_msky,tce_dikco_msky_err
27,1575690,1,,q1_q17_dr24_tce,2015-01-15,001/001575/001575690/dv/kplr001575690-001-20141002224145_dvs.pdf,001/001575/001575690/dv/kplr001575690-20141002224145_dvr.pdf,1.1262,1.56932e-07,132.441,3.29097e-05,2454970.0,3.29097e-05,0.14085155,0.0014351342,5.3861537,0.13853215,84.59,0.5767,0.5078,0.04093,1.632,0.01218,0.2612,0.01667,23050.0,56.2,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.6635101999999999,-0.5571858000000001,1.1236628,-0.37822680000000003,1005,mandel-agol_geometric_transit_model,1,663.3,25980.0,14180.0,1075.0,12870.0,989,292300.0,101600.0,,,10.37,0.1057,0.01851,1.719e-09,1150.0,68.7,,,1,,11111111111111,4298.0,162.0,4.6,0.05,0.12,0.28,0.675,0.063,KIC0,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,1.641,3.994,-5.099,0.6168,-0.1719,94.61,1186.0,11590.0,722.6,0.5595,0.0043,,,,,,,16.6077,0.1191,81.3504,0.1216,2.0419,0.063,12.2374,81.5292,6.2334,AFP,AFP,0.0,7.9974,-0.14369,1.1592,,,,,,,,,1056.9,19.458793,2.1800000000000002e-07,37.188777,2.48e-06,-0.05428,0.00937,-1.199,0.00894,-0.003326,0.0039,-0.002045,0.00489,1.2641,0.655,1.0127,0.358,1.6198,0.743,0.037418,0.0701,-0.16208,0.0711,0.16634000000000002,0.0704
87,2860594,1,,q1_q17_dr24_tce,2015-01-15,002/002860/002860594/dv/kplr002860594-001-20141002224145_dvs.pdf,002/002860/002860594/dv/kplr002860594-20141002224145_dvr.pdf,5.4999400000000005,1.71205e-07,132.816,2.64746e-05,2454970.0,2.64746e-05,0.19190552,3.156131e-05,4.7399987,0.0016853312,85.7,0.01239,0.3557,0.0008986,10.08,0.001457,1.82,0.001496,41850.0,11.49,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.3434782,0.8885738000000001,-0.8604702,0.2980704,250,mandel-agol_geometric_transit_model,1,4074.0,21760.0,22440.0,8473.0,3185.0,244,2080000.0,50850.0,,,30.09,0.004949,0.06738999999999999,1.398e-09,1410.0,492.0,,,1,1.0,11111111111111111,6916.0,271.0,4.25,0.39,-0.1,0.4,1.4369999999999998,0.998,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,14.04,757.3,-455.1,2.745,3.072,661.2,4726.0,5.724,336.7,0.8621,0.09631,,,,,,,1.7712,0.0679,97.0505,0.1084,1.1783,0.0743,0.0308,99.8213,0.1478,AFP,AFP,0.0,9.2234,-0.24108000000000002,1.3444,,,,,,,,,14122.0,19.544331,4.82e-08,38.069115000000004,6.84e-07,0.06188,0.00205,-0.05579,0.00246,0.004402,0.00149,-0.001184,0.00189,-0.02482,0.0667,0.014477,0.0667,0.028734,0.0668,0.057181,0.0673,0.051494,0.0688,0.076949,0.068
136,2020444,1,,q1_q17_dr24_tce,2015-01-15,002/002020/002020444/dv/kplr002020444-001-20141002224145_dvs.pdf,002/002020/002020444/dv/kplr002020444-20141002224145_dvr.pdf,0.506371,1.02326e-05,132.001,0.00121674,2454970.0,0.00121674,0.0072482047,0.0038604790000000004,2.2374772000000003,5.1455126,88.02,959.1,0.07712,37.26,1.736,0.9475,0.01257,0.07188,61.34,8.128,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.3770004,0.6755751999999999,-0.5372272,0.1568872,2638,mandel-agol_geometric_transit_model,1,10.2,27510.0,43150.0,12.04,33770.0,2597,71770.0,3215.0,,,2.485,1.324,0.01523,2.0519999999999998e-07,4470.0,886.0,,,0,,11111111111111111,7061.0,311.0,3.71,0.3,-0.16,0.32,3.142,1.214,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,6.522,5.884,-18.03,0.2126,0.1283,43.83,10.41,6.068e-05,1.596,0.9802,1.732,,,,,,,0.841,0.0197,15.3175,0.1004,83.8415,0.1029,0.2035,4.0271,95.7694,UNK,NTP,5.0518e-28,6.4743,-0.8368200000000001,1.0304,,,,,,,,,2.1082,19.517052,1.04e-05,37.493728999999995,0.000154,-0.5292,0.444,0.1765,0.554,1.997e-05,2.73e-05,-8.752999999999999e-06,3.41e-05,0.021665,0.107,-0.1521,0.375,0.15363,0.381,-0.0624,0.113,-0.1464,0.189,0.15914,0.197
161,2694337,2,,q1_q17_dr24_tce,2015-01-15,002/002694/002694337/dv/kplr002694337-002-20141002224145_dvs.pdf,002/002694/002694337/dv/kplr002694337-20141002224145_dvr.pdf,0.812865,9.165129999999999e-05,132.269,0.0864525,2454970.0,0.0864525,0.0025500229,0.007357660699999999,1.0004618,0.043394323,81.26,6776.0,0.152,116.9,6.151,111.1,0.01601,0.3378,7.499,5.648,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.42246179999999994,0.7615675999999999,-0.8229165999999999,0.3019098,1658,mandel-agol_geometric_transit_model,1,1.623,20360.0,25500.0,23.53,15650.0,1203,32050.0,3250.0,,,0.6381,1.841,0.02049,1.541e-06,3510.0,732.0,,,0,,11111111111111111,7526.0,320.0,3.96,0.25,-0.08,0.4,2.293,0.9359999999999999,KIC0,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,10.51,23.15,-19.14,0.275,0.4,3.806,20.76,0.0,1.975,0.07819,0.9219,,,,,,,0.1048,0.012,97.101,0.0823,2.7942,0.0795,0.0,99.3264,0.6736,AFP,AFP,0.0,-13.909,-17.590999999999998,0.52245,,,,,,,,,3.7899,19.085721,4.42e-05,37.910140999999996,0.000447,-0.1085,1.88,1.658,1.61,1.183e-06,1.41e-05,-1.166e-05,1.21e-05,-0.18092,1.54,-1.7494,3.35,1.7588,3.05,-0.9149,0.752,-2.1702,3.03,2.3551,3.01
233,1870849,4,,q1_q17_dr24_tce,2015-01-15,001/001870/001870849/dv/kplr001870849-004-20141002224145_dvs.pdf,001/001870/001870849/dv/kplr001870849-20141002224145_dvr.pdf,0.5345270000000001,0.0,131.605,0.0,2454960.0,0.0,0.010885436,0.0,2.7384592,0.0,87.91,0.0,0.1,0.0,1.5,0.0,0.01631,0.0,137.8,0.0,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.41727200000000003,0.742007,-0.7143649999999999,0.245988,729,mandel-agol_geometric_transit_model,0,-1.0,-1.0,-1.0,12.15,6643.0,510,8524.0,778.3,,,2.247,0.0,0.01481,0.0,3410.0,0.0,,,0,,11111111111111111,6835.0,313.0,4.07,0.32,0.08,0.38,1.892,1.054,PHO54,PHO54,PHO54,DSEP,,,,,,,,,,,,,,,,,,,2.005,2.72,-6.449,0.2063,0.1281,4.0280000000000005,10.74,0.0,5.356,-0.09313,0.6006,,,,,,,0.4643,0.0192,92.8988,0.1334,6.6369,0.1361,0.0065,97.8737,2.1199,AFP,AFP,3.4028e-15,9.8576,1.5652,1.1777,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
277,1577039,1,,q1_q17_dr24_tce,2015-01-15,001/001577/001577039/dv/kplr001577039-001-20141002224145_dvs.pdf,001/001577/001577039/dv/kplr001577039-20141002224145_dvr.pdf,3.07312,2.03096e-05,132.668,0.0031854,2454970.0,0.0031854,0.015945403,0.009893677,4.4554303,15.014916,83.51,90.29,0.5036,5.279,4.649,0.2011,0.09726,0.7343,282.1,32.98,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.44522860000000003,0.6929856,-0.685234,0.2376302,436,mandel-agol_geometric_transit_model,1,8.788,14880.0,19030.0,14.83,5538.0,425,5969.0,846.3,,,3.299,2.047,0.04849,2.136e-07,1920.0,637.0,,,0,,11111111111111111,6969.0,319.0,4.09,0.38,0.22,0.36,1.896,1.244,PHO54,PHO54,PHO54,DSEP,,,,,,,,,,,,,,,,,,,3.68,9.51,-10.97,0.9604,1.539,4.9639999999999995,10.51,0.0006602,2.857,0.8358,1.043,,,,,,,0.0748,0.0168,99.3832,0.0595,0.542,0.0503,0.0,99.9223,0.0777,AFP,AFP,4.6802e-23,6.462,-3.7968,1.4575,,,,,,,,,1.6774,19.477152,4.92e-06,37.188423,9.49e-05,0.4748,0.212,-0.3939,0.342,-3.393e-05,6.54e-05,3.473e-05,0.000102,4.7082,1.1,1.0577,1.31,4.8255,1.39,4.7617,1.0,0.073103,1.34,4.7622,1.13
378,1717722,1,,q1_q17_dr24_tce,2015-01-15,001/001717/001717722/dv/kplr001717722-001-20141002224145_dvs.pdf,001/001717/001717722/dv/kplr001717722-20141002224145_dvr.pdf,4.537030000000001,1.5231400000000001e-05,132.181,0.00234015,2454970.0,0.00234015,0.023433207999999997,0.017943163999999998,10.751946,29.508871,85.39,17.18,0.8643,0.8408,1.767,0.6885,0.1502,0.9585,466.8,36.13,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.6461262,-0.6408068,1.3786815000000001,-0.5645778,289,mandel-agol_geometric_transit_model,1,15.88,4158.0,5193.0,15.78,3679.0,282,22020.0,798.5,,,1.823,1.396,0.04875,1.091e-07,812.0,48.7,,,2,,1111111111111111,4812.0,145.0,4.61,0.06,-0.04,0.3,0.713,0.07400000000000001,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.8685,3.116,-3.749,0.1375,2.853,31.86,15.52,1.396,17.87,1.023,0.2416,,,,,,,86.6117,0.1461,11.112,0.1425,2.2763,0.0746,90.7121,5.3309,3.957,PC,PC,1.2079000000000001e-45,7.636,-0.1942,1.1119,,,,,,,,,14.919,19.374502,1.05e-05,37.289081,0.000132,-1.267,0.452,-0.03098,0.477,0.000182,0.000217,0.000428,0.000231,0.37154,0.584,-2.6224,1.05,2.6486,1.07,-0.72347,0.573,-0.005437,1.1,0.72349,0.717
433,2159852,1,,q1_q17_dr24_tce,2015-01-15,002/002159/002159852/dv/kplr002159852-001-20141002224145_dvs.pdf,002/002159/002159852/dv/kplr002159852-20141002224145_dvr.pdf,1.38532,1.22327e-05,132.016,0.00164536,2454970.0,0.00164536,0.0087343277,0.0034662823,3.4567104,7.1352086,88.59,441.5,0.08505,26.45,3.077,0.4932,0.02684,0.1267,89.1,15.9,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,-0.051668200000000004,1.788095,-1.7390866000000003,0.6118956,964,mandel-agol_geometric_transit_model,1,7.681,20610.0,27880.0,9.708,12270.0,943,15460.0,2026.0,,,0.9007,0.3574,0.02316,1.363e-07,1900.0,336.0,,,0,,11111111111111111,6748.0,211.0,4.42,0.27,-1.48,0.3,0.945,0.32899999999999996,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,2.685,9.925,-7.535,0.275,0.375,12.89,10.02,1.338e-05,3.731,0.7666,0.752,,,,,,,0.3953,0.0436,95.6094,0.1264,3.9952,0.119,0.0006,98.9327,1.0667,AFP,AFP,8.4129e-22,7.4462,0.14137,1.0373,,,,,,,,,5.2078,19.425061,9.73e-06,37.540151,0.000128,-0.2812,0.417,0.1475,0.461,2.586e-05,3.73e-05,-4.307e-05,4.14e-05,0.093111,0.2,0.19729,0.534,0.21816,0.557,0.046907,0.201,0.19243,0.525,0.19805999999999999,0.547
458,2718672,1,,q1_q17_dr24_tce,2015-01-15,002/002718/002718672/dv/kplr002718672-001-20141002224145_dvs.pdf,002/002718/002718672/dv/kplr002718672-20141002224145_dvr.pdf,0.9962190000000001,1.18743e-05,132.186,0.00315376,2454970.0,0.00315376,0.0023907764,0.00054128724,3.7794717,5.2260885,85.3,72.68,0.3095,4.35,1.92,0.2027,0.005063,0.01562,6.39,0.9614,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.5841970000000001,0.052507000000000005,-0.014622999999999999,-0.012968,1344,mandel-agol_geometric_transit_model,1,8.428,19790.0,24900.0,9.276,17070.0,1312,30310.0,2279.0,,,0.5066,0.1147,0.025419999999999998,2.0199999999999998e-07,3670.0,1350.0,,,0,,11111111111111111,9525.0,401.0,4.21,0.4,0.07,0.59,1.942,1.423,KIC0,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,2.587,7.218,-4.649,-0.175,0.7171,10.81,7.978,0.01316,3.084,1.056,0.5827,,,,,,,1.689,0.0664,21.0439,0.1084,77.2671,0.119,0.3226,7.3091,92.3683,UNK,NTP,9.227400000000001e-14,7.6229,0.0041012,1.0826,,,,,,,,,49.196,19.510968,3.29e-05,37.954555,0.000608,-5.151,1.4,-3.943,2.19,3.113e-05,8.96e-06,2.467e-05,1.4e-05,-2.4328,2.49,-3.6828,1.88,4.4138,1.71,-2.6602,2.1,-3.7252,1.81,4.5775,1.8
460,2851100,1,,q1_q17_dr24_tce,2015-01-15,002/002851/002851100/dv/kplr002851100-001-20141002224145_dvs.pdf,002/002851/002851100/dv/kplr002851100-20141002224145_dvr.pdf,0.890086,6.4225800000000004e-06,132.384,0.00116569,2454970.0,0.00116569,0.017536955,0.010938172,3.2606473,6.911805,73.94,44.16,0.9022,0.5028,0.9813,0.1366,0.08479,0.4392,235.6,22.72,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.6882434000000001,-0.7334208000000001,1.4385417,-0.5596424,1502,mandel-agol_geometric_transit_model,1,15.47,17920.0,21890.0,17.48,19270.0,1481,18490.0,2129.0,,,1.412,0.8809,0.01674,8.051e-08,1390.0,69.3,,,1,,11111111111111111,4758.0,149.0,4.6,0.05,0.16,0.3,0.738,0.057,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,2.029,11.06,-4.729,0.437,0.1807,7.761,15.51,0.002945,7.644,0.9975,0.305,,,,,,,0.5142,0.028,99.1625,0.0289,0.3233,0.0223,0.0012,99.9261,0.0727,AFP,AFP,1.8537e-48,6.7711,-1.399,1.1594,,,,,,,,,220.91,19.411265,2.27e-05,38.00691,0.000245,-4.9,0.967,-6.049,0.882,0.001111,0.000228,0.001314,0.000209,-6.9578,0.152,-3.1586,0.255,7.6412,0.0819,-7.0943,0.166,-3.206,0.282,7.7851,0.0891
467,2971415,1,,q1_q17_dr24_tce,2015-01-15,002/002971/002971415/dv/kplr002971415-001-20141002224145_dvs.pdf,002/002971/002971415/dv/kplr002971415-20141002224145_dvr.pdf,7.355919999999999,0.000106834,138.691,0.010985,2454970.0,0.010985,0.0068801615,0.003094038,3.5432205999999997,7.7434764,83.34,93.2,0.411,4.826,14.58,2.333,0.1197,0.6008,54.02,5.354,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.2804612,0.9517268,-0.8126482,0.2592354,181,mandel-agol_geometric_transit_model,1,10.4,19870.0,23450.0,21.57,2262.0,173,2703.0,1296.0,,,1.192,0.5362,0.07674,7.43e-07,1280.0,313.0,,,0,,1111111111111111,6370.0,240.0,4.08,0.26,-0.28,0.3,1.588,0.769,PHO54,PHO54,PHO54,DSEP,,,,,,,,,,,,,,,,,,,3.945,9.811,-12.66,4.746,3.67,6.016,9.605,0.5856,2.435,1.083,1.319,,,,,,,0.0655,0.0131,98.2286,0.0523,1.7059,0.0545,0.0,99.6896,0.3104,AFP,AFP,1.5029999999999998e-17,7.8343,-1.0382,1.2601,,,,,,,,,10.461,19.087481,2.02e-05,38.143865000000005,0.000259,-0.2977,0.857,1.279,0.933,9.652999999999999e-06,4.63e-05,-8.64e-05,5.04e-05,1.2645,0.298,1.7945,0.411,2.1952,0.447,1.2202,0.312,1.8535,0.371,2.2191,0.436
488,2300603,4,,q1_q17_dr24_tce,2015-01-15,002/002300/002300603/dv/kplr002300603-004-20141002224145_dvs.pdf,002/002300/002300603/dv/kplr002300603-20141002224145_dvr.pdf,3.2515400000000003,0.0,133.939,0.0,2454970.0,0.0,0.0099970749,0.0,2.0804163,0.0,87.24,0.0,0.1,0.0,12.0,0.0,0.12,0.0,116.5,0.0,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.29702399999999995,0.9565379999999999,-0.9021328000000002,0.3047348,414,mandel-agol_geometric_transit_model,0,-1.0,-1.0,-1.0,20.59,5278.0,405,6505.0,1003.0,,,2.349,0.0,0.049030000000000004,0.0,2070.0,0.0,,,0,,11111111111111111,7095.0,291.0,3.94,0.26,-0.32,0.34,2.153,0.758,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,9.743,9.331,-19.7,1.576,1.079,4.2989999999999995,14.27,0.0,1.465,-0.07007,1.381,,,,,,,0.0093,0.0057,99.5825,0.0132,0.4082,0.0153,0.0,99.9225,0.0775,AFP,AFP,7.3459e-53,5.1799,-2.609,1.1064,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
489,2301068,1,,q1_q17_dr24_tce,2015-01-15,002/002301/002301068/dv/kplr002301068-001-20141002224145_dvs.pdf,002/002301/002301068/dv/kplr002301068-20141002224145_dvr.pdf,8.60961,6.32627e-05,134.398,0.00584786,2454970.0,0.00584786,0.0085229847,0.0059368196,17.463231,49.456722,87.43,11.98,0.7838,1.43,2.39,0.2343,0.05169,0.3324,70.74,8.364,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.567046,-0.1570686,0.7343898,-0.3639746,151,mandel-agol_geometric_transit_model,1,9.046,2919.0,3573.0,8.548,1950.0,149,1010.0,189.5,,,3.937,2.742,0.1006,4.926e-07,1550.0,490.0,,,1,1.0,11111111111111111,5418.0,209.0,3.45,0.61,0.06,0.36,4.2330000000000005,2.655,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.6901,3.931,-2.857,-1.342,6.076,6.626,7.928,4.767,11.49,1.141,0.3604,,,,,,,69.3795,0.1874,24.8432,0.1775,5.7773,0.0594,74.7366,15.2255,10.0378,UNK,PC,2.9526999999999996e-13,7.7473,-0.053352,1.1074,,,,,,,,,9.4027,19.401851,2.23e-05,37.613948,0.000356,1.633,0.955,0.135,1.28,-0.0001073,6.76e-05,-2.624e-05,9.06e-05,-0.59913,0.763,-0.23582,0.8,0.64387,0.944,-0.55304,0.733,-0.29573,0.795,0.6271399999999999,0.846
504,2581674,3,,q1_q17_dr24_tce,2015-01-15,002/002581/002581674/dv/kplr002581674-003-20141002224145_dvs.pdf,002/002581/002581674/dv/kplr002581674-20141002224145_dvr.pdf,0.6952189999999999,1.73194e-05,131.72799999999998,0.00332285,2454960.0,0.00332285,0.0033129521999999997,0.0014935874,2.0618006999999996,4.0085387,81.63,233.8,0.3,7.74,2.466,1.453,0.008946,0.04416,12.55,2.555,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.5700824000000001,0.3780436,-0.4289536,0.1715336,1926,mandel-agol_geometric_transit_model,1,7.725,15990.0,17610.0,13.33,24690.0,1898,53050.0,7351.0,,,1.416,0.6384,0.019790000000000002,3.286e-07,4550.0,762.0,,,0,,11111111111111111,7334.0,297.0,3.58,0.25,0.16,0.32,3.917,1.272,KIC0,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,0.1076,0.0,-1.36,0.3438,0.3125,5.638999999999999,10.35,0.0,96.17,0.7466,0.1315,,,,,,,0.1738,0.0298,97.4123,0.0881,2.4139,0.0883,0.0,99.44,0.56,AFP,AFP,1.5694e-12,10.42,1.2054,1.3114,,,,,,,,,1.4673,19.514505,1.84e-05,37.848814000000004,0.000268,0.4197,0.784,0.1571,0.966,-5.827e-06,9.83e-06,-1.9519999999999997e-06,1.21e-05,0.1277,0.502,-0.69729,0.451,0.70889,0.492,0.18637,0.572,-0.79256,0.46,0.81418,0.554
510,2718944,1,,q1_q17_dr24_tce,2015-01-15,002/002718/002718944/dv/kplr002718944-001-20141002224145_dvs.pdf,002/002718/002718944/dv/kplr002718944-20141002224145_dvr.pdf,0.693213,1.2354e-05,131.69299999999998,0.00326993,2454960.0,0.00326993,0.0028335898,0.0005278747,2.4590347,2.0856051,78.3,46.73,0.4987,1.541,1.874,0.3252,0.00704,0.01436,8.832,1.433,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.49634079999999997,0.2243056,-0.0658112,-0.0181448,1927,mandel-agol_geometric_transit_model,1,8.185,28110.0,34690.0,9.199,24660.0,1896,23530.0,2659.0,,,0.9381,0.1748,0.01933,2.297e-07,4740.0,863.0,,,0,,11111111111111111,8572.0,365.0,3.78,0.31,-0.2,0.41,3.034,1.075,KIC0,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,3.898,8.219,-6.939,0.2333,0.3458,6.37,8.271,0.002885,2.122,0.9896,0.839,,,,,,,0.0031,0.0028,93.4248,0.09,6.5721,0.0898,0.0,97.9259,2.0741,AFP,AFP,1.4292999999999998e-11,8.722,0.27578,1.2011,,,,,,,,,43.992,19.515442999999998,3.6e-05,37.909094,0.000548,2.837,1.53,-5.531,1.97,-2.611e-05,1.35e-05,4.991e-05,1.74e-05,0.43175,0.767,0.087098,1.1,0.44045,1.05,0.39765,0.788,0.13808,1.24,0.42094,1.21
517,2973386,1,,q1_q17_dr24_tce,2015-01-15,002/002973/002973386/dv/kplr002973386-001-20141002224145_dvs.pdf,002/002973/002973386/dv/kplr002973386-20141002224145_dvr.pdf,31.0207,0.00011494200000000001,138.019,0.00312085,2454970.0,0.00312085,0.026508906000000002,0.022835552999999998,132.41627,472.91254,89.97,22.54,0.06943,51.85,1.833,0.3114,0.04756,0.3828,855.0,59.32,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.6065936,0.43297579999999997,-0.341131,0.1294526,42,mandel-agol_geometric_transit_model,1,15.5,585.2,742.4,15.15,546.0,41,262.9,93.52,,,1.513,1.303,0.1576,3.892e-07,314.0,31.5,,,1,,11111111111111111,3903.0,119.0,4.74,0.11,-0.2,0.3,0.523,0.1,PHO2,PHO2,PHO2,DSEP2,,,,,,,,,,,,,,,,,,,0.7661,3.431,-3.379,-4.556,13.71,11.15,12.11,2.63,15.81,1.28,0.2789,,,,,,,96.9637,0.1072,2.6191,0.1011,0.4172,0.0223,98.8476,0.7825,0.3699,PC,PC,1.2550999999999998e-27,7.8201,-0.17379,1.1347,,,,,,,,,20.432,19.132019,2.05e-05,38.165755,0.000287,0.4253,0.872,1.926,1.03,-0.0005941,0.00076,-0.0019,0.000902,0.31714,0.61,0.30723,0.424,0.44155,0.553,0.28896,0.605,0.53994,0.415,0.6124,0.47
523,1433399,3,,q1_q17_dr24_tce,2015-01-15,001/001433/001433399/dv/kplr001433399-003-20141002224145_dvs.pdf,001/001433/001433399/dv/kplr001433399-20141002224145_dvr.pdf,2.12646,1.0760799999999999e-05,132.85399999999998,0.0023,2454970.0,0.0023,0.008683395200000001,0.0020680598,1.9846796999999998,1.9740772,74.67,71.02,0.5249,1.85,7.05,2.198,0.0835,0.2146,83.35,6.43,0,0,0,0,claret_nonlinear_limb_darkening_model_2011,0.3088308,0.9743568000000001,-0.943242,0.33054120000000003,632,mandel-agol_geometric_transit_model,1,16.48,14660.0,13370.0,36.89,8008.0,615,45150.0,22690.0,,,1.777,0.4231,0.03626,1.223e-07,2150.0,498.0,,,0,,11111111111111111,6771.0,256.0,4.04,0.27,-0.16,0.34,1.875,0.858,PHO1,KIC0,KIC0,DSEP,,,,,,,,,,,,,,,,,,,-1.0,0.0,0.0,1.063,1.063,6.638999999999999,18.8,1.454,-18.8,0.8766,0.0,,,,,,,0.3057,0.0376,99.3641,0.0273,0.3302,0.0271,0.0,99.9262,0.0738,AFP,AFP,-1.0,-1.0,-1.0,-1.0,,,,,,,,,34.366,19.44237,9.69e-06,37.042669000000004,0.000133,0.09443,0.418,-1.154,0.478,-2.073e-05,3.48e-05,0.000121,3.99e-05,-0.047447,0.107,0.055301,0.161,0.072866,0.14,0.040481,0.113,0.04586,0.159,0.06117,0.158
